學年度,族籍別,性別,等級別,在學數
110,撒奇萊雅族,女,碩士班,8
110,撒奇萊雅族,女,學士班,20
110,撒奇萊雅族,女,二專,1
110,撒奇萊雅族,女,五專,4
110,賽德克族,男,總計,234
110,賽德克族,男,博士班,2
110,賽德克族,男,碩士班,40
110,賽德克族,男,學士班,178
110,賽德克族,男,二專,3
110,賽德克族,男,五專,11
110,賽德克族,女,總計,407
110,賽德克族,女,博士班,6
110,賽德克族,女,碩士班,50
110,賽德克族,女,學士班,244
110,賽德克族,女,二專,9
110,賽德克族,女,五專,98
110,拉阿魯哇族,男,總計,13
110,拉阿魯哇族,男,博士班,1
110,拉阿魯哇族,男,碩士班,5
110,拉阿魯哇族,男,學士班,6
110,拉阿魯哇族,男,二專,0
110,拉阿魯哇族,男,五專,1
110,拉阿魯哇族,女,總計,16
110,拉阿魯哇族,女,博士班,0
110,拉阿魯哇族,女,碩士班,1
110,拉阿魯哇族,女,學士班,14
110,拉阿魯哇族,女,二專,0
110,拉阿魯哇族,女,五專,1
110,卡那卡那富族,男,總計,9
110,卡那卡那富族,男,博士班,1
110,卡那卡那富族,男,碩士班,1
110,卡那卡那富族,男,學士班,7
110,卡那卡那富族,男,二專,0
110,卡那卡那富族,男,五專,0
110,卡那卡那富族,女,總計,21
110,卡那卡那富族,女,博士班,0
110,卡那卡那富族,女,碩士班,2
110,卡那卡那富族,女,學士班,17
110,卡那卡那富族,女,二專,0
110,卡那卡那富族,女,五專,2
110,尚未申報族籍,男,總計,16
110,尚未申報族籍,男,博士班,0
110,尚未申報族籍,男,碩士班,2
110,尚未申報族籍,男,學士班,12
110,尚未申報族籍,男,二專,1
110,尚未申報族籍,男,五專,1
110,尚未申報族籍,女,總計,11
110,尚未申報族籍,女,博士班,0
110,尚未申報族籍,女,碩士班,3
110,尚未申報族籍,女,學士班,7
110,尚未申報族籍,女,二專,1
110,尚未申報族籍,女,五專,0
111,總計,男,總計,11024
111,總計,男,博士班,129
111,總計,男,碩士班,1000
111,總計,男,學士班,9104
111,總計,男,二專,253
111,總計,男,五專,538
111,總計,女,總計,16829
111,總計,女,博士班,100
111,總計,女,碩士班,1527
111,總計,女,學士班,11449
111,總計,女,二專,525
111,總計,女,五專,3228
111,阿美族,男,總計,3937
111,阿美族,男,博士班,26
111,阿美族,男,碩士班,280
111,阿美族,男,學士班,3375
111,阿美族,男,二專,90
111,阿美族,男,五專,166
111,阿美族,女,總計,5491
111,阿美族,女,博士班,8
111,阿美族,女,碩士班,417
111,阿美族,女,學士班,3950
111,阿美族,女,二專,191
111,阿美族,女,五專,925
111,泰雅族,男,總計,1860
111,泰雅族,男,博士班,15
111,泰雅族,男,碩士班,177
111,泰雅族,男,學士班,1532
111,泰雅族,男,二專,34
111,泰雅族,男,五專,102
111,泰雅族,女,總計,2822
111,泰雅族,女,博士班,19
111,泰雅族,女,碩士班,254
111,泰雅族,女,學士班,1885
111,泰雅族,女,二專,62
111,泰雅族,女,五專,602
111,排灣族,男,總計,1975
111,排灣族,男,博士班,35
111,排灣族,男,碩士班,194
111,排灣族,男,學士班,1587
111,排灣族,男,二專,55
111,排灣族,男,五專,104
111,排灣族,女,總計,3332
111,排灣族,女,博士班,33
111,排灣族,女,碩士班,332
111,排灣族,女,學士班,2186
111,排灣族,女,二專,103
111,排灣族,女,五專,678
111,布農族,男,總計,1253
111,布農族,男,博士班,20
111,布農族,男,碩士班,145
111,布農族,男,學士班,987
